a	aː
áhrifamiklar	auː r̥ ɪ v a m ɪ h k l a r
áhrifamikli	auː r̥ ɪ v a m ɪ h k l ɪ
áhrifamátt	auː r̥ ɪ v a m au h t
áhrifamáttur	auː r̥ ɪ v a m au h t ʏ r
áhrifamætti	auː r̥ ɪ v a m ai h t ɪ
áhrifana	auː r̥ ɪ v a n a
áhrifarík	auː r̥ ɪ v a r iː k
áhrifaríkan	auː r̥ ɪ v a r iː k a n
áhrifaríkasta	auː r̥ ɪ v a r iː k a s t a
áhrifaríkrar	auː r̥ ɪ v a r iː k r a r
áhrifaríkt	auː r̥ ɪ v a r i x t
áhrifaríkur	auː r̥ ɪ v a r iː k ʏ r
áhrifasvæði	auː r̥ ɪ v a s v ai ð ɪ
áhrifavald	auː r̥ ɪ v a v a l t
áhrifavöldum	auː r̥ ɪ v a v œ l t ʏ m
áhrifavöldunum	auː r̥ ɪ v a v œ l t ɔ n ʏ m
áhrifaþáttum	auː r̥ ɪ v a θ au h t ʏ m
áhrifaþáttur	auː r̥ ɪ v a θ au h t ʏ r
áhrifaþættir	auː r̥ ɪ v a θ ai h t ɪ r
áhrifin	auː r̥ ɪ v ɪ n
áhrifssagnir	auː r̥ ɪ v s a k n ɪ r
áhrifssögn	auː r̥ ɪ v s œ k n̥
áhrifum	auː r̥ ɪ v ʏ m
áhrærir	auː r̥ ai r ɪ r
áhug	auː h ʏ ɣ
áhuga	auː h ʏ ɣ a
áhugafólk	auː h ʏ ɣ a f ou l̥ k
áhugalaus	auː h ʏ ɣ a l œyː s
áhugalausir	auː h ʏ ɣ a l œyː s ɪ r
áhugaleikfélögum	auː h ʏ ɣ a l eiː k f j ɛː l œ ɣ ʏ m
áhugalítil	auː h ʏ ɣ a l i t ɪ l
áhugamaður	auː h ʏ ɣ a m aː ð ʏ r
áhugamál	auː h ʏ ɣ a m au l
áhugamála	auː h ʏ ɣ a m au l a
áhugamálum	auː h ʏ ɣ a m au l ʏ m
áhugann	auː h ʏ ɣ a n
áhugasaman	auː h ʏ ɣ a s aː m a n
áhugasamari	auː h ʏ ɣ a s a m a r ɪ
áhugasamir	auː h ʏ ɣ a s a m ɪ r
áhugasamur	auː h ʏ ɣ a s a m ʏ r
áhugasviðsprófið	auː h ʏ ɣ a s v ɪ ð s p r ouː v ɪ ð
áhugasviðum	auː h ʏ ɣ a s v ɪː ð ʏ m
áhugasöm	auː h ʏ ɣ a s œ m
áhugasömum	auː h ʏ ɣ a s œ m ʏ m
áhugavert	auː h ʏ ɣ a v ɛ r̥ t
áhugaverð	auː h ʏ ɣ a v ɛ r ð
áhugaverðar	auː h ʏ ɣ a v ɛ r ð a r
áhugaverðara	auː h ʏ ɣ a v ɛ r ð a r a
áhugaverðir	auː h ʏ ɣ a v ɛ r ð ɪ r
áhugaverðum	auː h ʏ ɣ a v ɛ r ð ʏ m
áhugaverður	auː h ʏ ɣ a v ɛ r ð ʏ r
áhugi	auː h ʏi j ɪ
áhuginn	auː h ʏi j ɪ n
áhyggja	auː h ɪ c a
áhyggjuefni	auː h ɪ c ʏ ɛ p n ɪ
áhyggjufull	auː h ɪ c ʏ f ʏ t l̥
áhyggjufullur	auː h ɪ c ʏ f ʏ t l ʏ r
áhyggjuhrukkur	auː h ɪ c ʏ r̥ ʏ h k ʏ r
áhyggjulaus	auː h ɪ c ʏ l œyː s
áhyggjulausir	auː h ɪ c ʏ l œyː s ɪ r
áhyggjulaust	auː h ɪ c ʏ l œy s t
áhyggjulausu	auː h ɪ c ʏ l œyː s ʏ
áhyggjum	auː h ɪ c ʏ m
áhyggjunum	auː h ɪ c ʏ n ʏ m
áhyggjur	auː h ɪ c ʏ r
áhyggjusvip	auː h ɪ c ʏ s v ɪː p
áhætta	auː h ai h t a
áhættan	auː h ai h t a n
áhættu	auː h ai h t ʏ
áhættuhópi	auː h ai h t ʏ h ouː p ɪ
áhættuna	auː h ai h t ʏ n a
áhættunnar	auː h ai h t ʏ n a r
áhættunni	auː h ai h t ʏ n ɪ
áhættusamt	auː h ai h t ʏ s a m̥ t
áhættusöm	auː h ai h t ʏ s œː m
áhættuþátta	auː h ai h t ʏ θ au h t a
áhættuþáttur	auː h ai h t ʏ θ au h t ʏ r
áhættuþátturinn	auː h ai h t ʏ θ au h t ʏ r ɪ n
áhættuþætti	auː h ai h t ʏ θ ai h t ɪ
áhættuþættir	auː h ai h t ʏ θ ai h t ɪ r
áhöfn	auː h œ p n̥
áhöfnin	auː h œ p n ɪ n
áhöfnum	auː h œ p n ʏ m
áhöld	auː h œ l t
áin	auː ɪ n
áka	auː k a
ákafanum	auː k a v a n ʏ m
ákafar	auː k a v a r
ákafara	auː k a v a r a
ákafast	auː k a v a s t
ákafir	auː k a v ɪ r
ákaflega	auː k a v l ɛ ɣ a
ákaft	auː k a f t
ákafur	auː k a v ʏ r
ákall	auː k a t l̥
ákefð	auː c ɛ v ð
ákefðarinnar	auː c ɛ v ð a r ɪ n a r
ákjósanlegir	auː c ou s a n l ei j ɪ r
ákjósanlegur	auː c ou s a n l ɛ ɣ ʏ r
ákvarða	auː k v a r ð a
ákvarðana	auː k v a r ð a n a
ákvarðanatöku	auː k v a r ð a n a t œ k ʏ
ákvarðanatökuna	auː k v a r ð a n a t œ k ʏ n a
ákvarðanatökunnar	auː k v a r ð a n a t œ k ʏ n a r
ákvarðanir	auː k v a r ð a n ɪ r
ákvarðar	auː k v a r ð a r
ákvarðast	auː k v a r ð a s t
ákvarðaði	auː k v a r ð a ð ɪ
ákvarðaður	auː k v a r ð a ð ʏ r
ákvað	auː k v a ð
ákvaðst	auː k v a ð s t
ákvaðstu	auː k v a ð s t ʏ
ákveð	auː k v ɛ ð
ákveða	auː k v ɛ ð a
ákveði	auː k v ɛ ð ɪ
ákveðin	auː k v ɛ ð ɪ n
ákveðinn	auː k v ɛ ð ɪ n
ákveðinna	auː k v ɛ ð ɪ n a
ákveðinnar	auː k v ɛ ð ɪ n a r
ákveðinni	auː k v ɛ ð ɪ n ɪ
ákveðins	auː k v ɛ ð ɪ n s
ákveðið	auː k v ɛ ð ɪ ð
ákveðna	auː k v ɛ ð n a
ákveðnar	auː k v ɛ ð n a r
ákveðnari	auː k v ɛ ð n a r ɪ
ákveðnin	auː k v ɛ ð n ɪ n
ákveðnir	auː k v ɛ ð n ɪ r
ákveðnu	auː k v ɛ ð n ʏ
ákveðnum	auː k v ɛ ð n ʏ m
ákveður	auː k v ɛ ð ʏ r
ákváðu	auː k v au ð ʏ
ákváðum	auː k v au ð ʏ m
ákvæða	auː k v ai ð a
ákvæði	auː k v ai ð ɪ
ákvæðinu	auː k v ai ð ɪ n ʏ
ákvæðið	auː k v ai ð ɪ ð
ákvæðum	auː k v ai ð ʏ m
ákvörðun	auː k v œ r ð ʏ n
ákvörðunar	auː k v œ r ð ʏ n a r
ákvörðunin	auː k v œ r ð ʏ n ɪ n
ákvörðunina	auː k v œ r ð ʏ n ɪ n a
ákvörðuninni	auː k v œ r ð ʏ n ɪ n ɪ
ákvörðunum	auː k v œ r ð ʏ n ʏ m
ákvörðuð	auː k v œ r ð ʏ ð
ákæra	auː c ai r a
ákæru	auː c ai r ʏ
ákærulið	auː c ai r ʏ l ɪ ð
ákæruliði	auː c ai r ʏ l ɪ ð ɪ
ákærur	auː c ai r ʏ r
ákæruskjal	auː c ai r ʏ s c aː l
ákæruvaldið	auː c ai r ʏ v a l t ɪ ð
ákæruvalds	auː c ai r ʏ v a l t s
ákærð	auː c ai r ð
ákærða	auː c ai r ð a
ákærði	auː c ai r ð ɪ
ákærðir	auː c ai r ð ɪ r
ákærður	auː c ai r ð ʏ r
áköf	auː k œ v
ál	auː l
ála	auː l a
álaborg	auː l a p ɔ r k
álaborgar	auː l a p ɔ r k a r
álaflaga	auː l a f l aː ɣ a
álag	auː l a ɣ
álagahryggur	auː l a k a r̥ ɪ k ʏ r
álagahvammur	auː l a k a kʰ v a m ʏ r
álagaskógur	auː l a ɣ a s k ouː ʏ r
álagi	auː l ai j ɪ
álaginu	auː l ai j ɪ n ʏ
álagið	auː l ai j ɪ ð
álagjáarbót	auː l a k j auː a r p ouː t
álagning	auː l a k n i ŋ k
álagningarseðla	auː l a k n i ŋ k a r s ɛ ð l a
álagningu	auː l a k n i ŋ k ʏ
álags	auː l a x s
álagstoppa	auː l a x s t ɔ h p a
álahólmaflaga	auː l a h ou l m a f l aː ɣ a
álahólmi	auː l a h ou l m ɪ
álakvísl	auː l a kʰ v i s t l̥
álandseyjar	auː l a n s ei j a r
álar	auː l a r
álasa	auː l a s a
álasandi	auː l a s a n t ɪ
álasundi	auː l a s ʏ n t ɪ
álategundir	auː l a t ɛː ɣ ʏ n t ɪ r
álava	auː l a v a
álaþing	auː l a θ i ŋ k
álboði	au l p ɔ ð ɪ
áldósir	au l t ouː s ɪ r
álega	auː l ɛ ɣ a
álegg	auː l ɛ k
álegu	auː l ɛ ɣ ʏ
áleit	auː l ei t
áleitin	auː l ei t ɪ n
áleiðis	auː l ei ð ɪ s
álendinga	auː l ɛ n t i ŋ k a
áletraðar	auː l ɛ t r a ð a r
áletrun	auː l ɛ t r ʏ n
áletrunin	auː l ɛ t r ʏ n ɪ n
álfa	au l v a
álfabakka	au l v a p a h k a
álfaborgin	au l v a p ɔ r c ɪ n
álfabyggð	au l v a p ɪ ɣ ð
álfadalsfjall	au l f a t a l s f j a t l̥
álfadís	au l f a t i s
álfahellir	au l v a h ɛ t l ɪ r
álfahorn	au l v a h ɔ t n̥
álfakroppur	au l v a k r ɔ h p ʏ r
álfalandi	au l v a l a n t ɪ
álfan	au l v a n
álfar	au l v a r
álfarnir	au l v a t n ɪ r
álfasel	au l v a s ɛː l
álfasteini	au l v a s t eiː n ɪ
álfasteinn	au l v a s t ei t n̥
álfasund	au l v a s ʏ n t
álfaás	au l f a au s
álfey	au l v ei
álffjall	au l f j a t l̥
álfgerðarholt	au l v c ɛ r ð a r h ɔ l̥ t
álfheima	au l v h ei m a
álfheimum	au l v h ei m ʏ m
álfheimur	au l v h ei m ʏ r
álfheiður	au l v h ei ð ʏ r
álfhella	au l v h ɛ t l a
álfholt	au l f h ɔ l̥ t
álfhyrna	au l v h ɪ r t n a
álfhólana	au l v h ou l a n a
álfhóll	au l v h ou t l̥
álfhólshjáleiga	au l v h ou l s ç au l eiː ɣ a
álfilma	au l f ɪ l m a
álfinn	au l v ɪ n
álfkona	au l v k ɔ n a
álfkonan	au l v k ɔ n a n
álfkonuhvarfi	au l v k ɔ n ʏ kʰ v a r v ɪ
álfkonuhóll	au l v k ɔː n ʏ h ou t l̥
álfkonuna	au l v k ɔː n ʏ n a
álfkonunnar	au l v k ɔ n ʏ n a r
álfs	au l v s
álfsnes	au l f s t n ɛ s
álfsnesi	au l f s t n ɛ s ɪ
álfsstaðahellir	au l f s t a ð a h ɛ t l ɪ r
álfstaðaá	au l v s t aː ð a au
álfsól	au l v s ou l
álftabæli	au l̥ t a p aiː l ɪ
álftabúðahöfði	au l̥ t a p uː ð a h œ v ð ɪ
álftadalslækur	au l̥ t a t a l s t l aiː k ʏ r
álftadæla	au l̥ t a t ai l a
álftafell	au l̥ t a f ɛ t l̥
álftafellsmýri	au l̥ t a f ɛ l s m iː r ɪ
álftafirði	au l̥ t a f ɪ r ð ɪ
álftafirðinum	au l̥ t a f ɪ r ð ɪ n ʏ m
álftafjarðarbotni	au l̥ t a f j a r ð a r p ɔ h t n ɪ
álftafjörð	au l̥ t a f j œ r ð
álftafjörðinn	au l̥ t a f j œ r ð ɪ n
álftafoss	au l̥ t a f ɔ s
álftahjalli	au l̥ t a ç a t l ɪ
álftahjón	au l̥ t a ç ouː n
álftamýrarheiði	au l̥ t a m i r a r h eiː ð ɪ
álftamýri	au l̥ t a m iː r ɪ
álftanes	au l̥ t a n ɛː s
álftanesgata	au l̥ t a n ɛː s k a t a
álftanesi	au l̥ t a n ɛː s ɪ
álftaness	au l̥ t a n ɛ s
álftapollur	au l̥ t a pʰ ɔ t l ʏ r
álftarás	au l̥ t a r auː s
álftaróslækur	au l̥ t a r ou s t l aiː k ʏ r
álftaskerstangavík	au l̥ t a s c ɛ r̥ s t au ŋ k a v iː k
álftaskerstangi	au l̥ t a s c ɛ r̥ s t au ɲ c ɪ
álftaskál	au l̥ t a s k auː l
álftaspilda	au l̥ t a s p ɪ l t a
álftatjarnaás	au l̥ t a t j a r t n a au s
álftatjörn	au l̥ t a t j œ r t n̥
álftavatni	au l̥ t a v a h t n ɪ
álftaveri	au l̥ t a v ɛː r ɪ
álftaversafréttur	au l̥ t a v ɛ r̥ s a f r j ɛ h t ʏ r
álftavogur	au l̥ t a v ɔː ɣ ʏ r
álftavíkurtindur	au l̥ t a v iː k ʏ r t ɪ n t ʏ r
álftfirðingum	au l̥ t f ɪ r ð i ŋ k ʏ m
álfthagi	au l̥ t h ai j ɪ
álfthólar	au l̥ t h ou l a r
álftin	au l̥ t ɪ n
álftinar	au l̥ t ɪ n a r
álftir	au l̥ t ɪ r
álftirnar	au l̥ t ɪ t n a r
álftá	au l̥ t au
álftárstekkur	au l̥ t au r s t ɛ h k ʏ r
álftárós	au l̥ t au r ou s
álfukeppninnar	au l v ʏ c ɛ h p n ɪ n a r
álfuna	au l v ʏ n a
álfunnar	au l v ʏ n a r
álfunni	au l v ʏ n ɪ
álfur	au l v ʏ r
álfurnar	au l v ʏ t n a r
álhella	auː l h ɛ t l a
álit	auː l ɪ t
álita	auː l ɪ t a
álitaefni	auː l ɪ t a ɛ p n ɪ
álitaefnin	auː l ɪ t a ɛ p n ɪ n
álitaefnis	auː l ɪ t a ɛ p n ɪ s
álitamál	auː l ɪ t a m au l
álitamáli	auː l ɪ t a m au l ɪ
áliti	auː l ɪ t ɪ
álitin	auː l ɪ t ɪ n
álitinn	auː l ɪ t ɪ n
álitið	auː l ɪ t ɪ ð
álitlegasta	auː l ɪ t l ɛ ɣ a s t a
álitlegt	auː l ɪ t l ɛ x t
álitlegust	auː l ɪ t l ɛ ɣ ʏ s t
álitnar	auː l ɪ h t n a r
álitnir	auː l ɪ h t n ɪ r
álits	auː l ɪ t s
álitsgerð	auː l ɪ t s c ɛ r ð
álitsgjafi	auː l ɪ t s c aː v ɪ
álitu	auː l ɪ t ʏ
álið	auː l ɪ ð
áliðið	auː l ɪ ð ɪ ð
áliðnaði	auː l ɪ ð n a ð ɪ
álka	au l̥ k a
álkugil	au l̥ k ʏ c ɪ l
áll	au t l̥
állinn	au t l ɪ n
álma	au l m a
álpappír	au l̥ p a h p i r
álpast	au l̥ p a s t
áls	au l s
álsvellir	au l s v ɛ t l ɪ r
álum	auː l ʏ m
álver	au l v ɛ r
álvera	au l v ɛ r a
álverin	au l v ɛ r ɪ n
álverinu	au l v ɛ r ɪ n ʏ
álverksmiðjur	au l v ɛ r̥ k s m ɪ ð j ʏ r
álvinnsla	au l v ɪ n s t l a
álykta	auː l ɪ x t a
ályktanir	auː l ɪ x t a n ɪ r
ályktanirnar	auː l ɪ x t a n ɪ t n a r
ályktar	auː l ɪ x t a r
ályktað	auː l ɪ x t a ð
ályktaði	auː l ɪ x t a ð ɪ
ályktun	auː l ɪ x t ʏ n
ályktuðu	auː l ɪ x t ʏ ð ʏ
álíka	auː l i k a
álít	auː l i t
álíti	auː l i t ɪ
álítur	auː l i t ʏ r
álöf	auː l œ v
álög	auː l œ ɣ
álögin	auː l œy j ɪ n
álögum	auː l œ ɣ ʏ m
álögunum	auː l œ ɣ ɔ n ʏ m
álútur	auː l u t ʏ r
ám	auː m
áminnandi	auː m ɪ n a n t ɪ
áminning	auː m ɪ n i ŋ k
áminningu	auː m ɪ n i ŋ k ʏ
áminnt	auː m ɪ n̥ t
áminnti	auː m ɪ n̥ t ɪ
áminntur	auː m ɪ n̥ t ʏ r
ámundabakki	auː m ʏ n t a p a h c ɪ
ámundabotnar	auː m ʏ n t a p ɔ h t n a r
ámundarflötur	auː m ʏ n t a r f l œ t ʏ r
ámundason	auː m ʏ n t a s ɔː n
ámundi	auː m ʏ n t ɪ
ámunni	auː m ʏ n ɪ
ámátlega	auː m au t l ɛ ɣ a
ámæli	auː m ai l ɪ
ámælisverð	auː m ai l ɪ s v ɛ r ð
án	auː n
ána	auː n a
ánafnað	auː n a p n a ð
ánahlíð	auː n a l̥ iː ð
ánalandi	auː n a l a n t ɪ
ánamaðka	auː n a m a θ k a
ánamaðkar	auː n a m a θ k a r
ánamaðksins	auː n a m a θ k s ɪ n s
ánamaðkurinn	auː n a m a θ k ʏ r ɪ n
ánamöðkum	auː n a m œ ð k ʏ m
ánar	auː n a r
ánastaðahjalli	auː n a s t aː ð a ç a t l ɪ
ánastaðaá	auː n a s t aː ð a au
ánastaðir	auː n a s t a ð ɪ r
ánasteinsmýri	auː n a s t ei n s m iː r ɪ
ánauð	auː n œy ð
ánetjast	auː n ɛ t j a s t
ánholtsflói	auː n h ɔ l̥ t s f l ouː ɪ
áni	auː n ɪ
áningarstaður	auː n i ŋ k a r s t a ð ʏ r
áningshóll	auː n i ŋ s h ou t l̥
ánna	au n a
ánni	au n ɪ
ánum	auː n ʏ m
ánægja	auː n ai j a
ánægjan	auː n ai j a n
ánægju	auː n ai j ʏ
ánægjuefni	auː n ai j ʏ ɛ p n ɪ
ánægjukliður	auː n ai j ʏ k l ɪ ð ʏ r
ánægjuleg	auː n ai j ʏ l ɛː ɣ
ánægjulega	auː n ai j ʏ l ɛː ɣ a
ánægjulegt	auː n ai j ʏ l ɛ x t
ánægjulegu	auː n ai j ʏ l ɛː ɣ ʏ
ánægjulegur	auː n ai j ʏ l ɛː ɣ ʏ r
ánægjuna	auː n ai j ʏ n a
ánægt	auː n ai x t
ánægð	auː n ai ɣ ð
ánægðar	auː n ai ɣ ð a r
ánægðari	auː n ai ɣ ð a r ɪ
ánægðir	auː n ai ɣ ð ɪ r
ánægðra	auː n ai ɣ ð r a
ánægður	auː n ai ɣ ð ʏ r
áorkaði	auː ɔ r̥ k a ð ɪ
ár	auː r
ára	auː r a
árabil	auː r a p ɪ l
árabilið	auː r a p ɪː l ɪ ð
árabið	auː r a p ɪ ð
árafjölda	auː r a f j œ l t a
árafjöldinn	auː r a f j œ l t ɪ n
áralanga	auː r a l au ŋ k a
áralaus	auː r a l œyː s
áralöngum	auː r a l œy ŋ k ʏ m
áramót	auː r a m ou t
áramóta	auː r a m ou t a
áramótabrennum	auː r a m ou t a p r ɛ n ʏ m
áramótabrennunnar	auː r a m ou t a p r ɛ n ʏ n a r
áramótabrennur	auː r a m ou t a p r ɛ n ʏ r
áramótaeyri	auː r a m ou t a eiː r ɪ
áramótaskaupi	auː r a m ou t a s k œy p ɪ
áramótaskaupinu	auː r a m ou t a s k œy p ɪ n ʏ
áramótin	auː r a m ou t ɪ n
áramótum	auː r a m ouː t ʏ m
árangri	auː r au ŋ k r ɪ
árangur	auː r au ŋ k ʏ r
árangurinn	auː r au ŋ k ʏ r ɪ n
árangurs	auː r au ŋ k ʏ r̥ s
árangurslaus	auː r au ŋ k ʏ r̥ s t l œy s
árangursrík	auː r au ŋ k ʏ r̥ s r iː k
árangursríkar	auː r au ŋ k ʏ r̥ s r iː k a r
árangursríkast	auː r au ŋ k ʏ r̥ s r iː k a s t
árangursríkt	auː r au ŋ k ʏ r̥ s r i x t
árangursríkur	auː r au ŋ k ʏ r̥ s r iː k ʏ r
áranna	auː r a n a
árans	auː r a n s
árar	auː r a r
áratug	auː r a t ʏː ɣ
áratuga	auː r a t ʏː ɣ a
áratugarins	auː r a t ʏː ɣ a r ɪ n s
áratugi	auː r a t ʏi j ɪ
áratugina	auː r a t ʏi j ɪ n a
áratuginn	auː r a t ʏi j ɪ n
áratugir	auː r a t ʏi j ɪ r
áratugnum	auː r a t ʏ k n ʏ m
áratugum	auː r a t ʏː ɣ ʏ m
áratugur	auː r a t ʏː ɣ ʏ r
áraun	auː r œy n
árbakka	au r p a h k a
árbakkann	au r p a h k a n
árbakkanum	au r p a h k a n ʏ m
árbakkar	au r p a h k a r
árbakkinn	au r p a h c ɪ n
árborg	au r p ɔ r k
árborgar	au r p ɔ r k a r
árbugsá	au r p ʏ x s auː
árbæ	au r p ai
árbæingar	au r p ai j i ŋ k a r
árbæjarbrún	au r p ai j a r p r u n
árbæjargil	au r p ai j a r c ɪ l
árbæjarskóla	au r p ai j a r s k ouː l a
árbæjarskóli	au r p ai j a r s k ouː l ɪ
árbæjartún	au r p ai j a r tʰ uː n
árbær	au r p ai r
árbít	au r p iː t
árbók	au r p ou k
árbókina	au r p ouː c ɪ n a
árbókum	au r p ouː k ʏ m
árbökkum	au r p œ h k ʏ m
árbúðir	au r p u ð ɪ r
árdaga	au r t aː ɣ a
árdal	au r t aː l
árdalsskarð	au r t a l s k a r ð
árdalsá	au r t a l s auː
árdalur	au r t aː l ʏ r
árdegið	au r t ei j ɪ ð
árdís	au r t i s
árdölum	au r t œː l ʏ m
áreiti	auː r ei t ɪ
áreitir	auː r ei t ɪ r
áreitis	auː r ei t ɪ s
áreitni	auː r ei h t n ɪ
áreitt	auː r ei h t
áreittir	auː r ei h t ɪ r
áreittur	auː r ei h t ʏ r
áreiðanleg	auː r ei ð a n l ɛ ɣ
áreiðanlega	auː r ei ð a n l ɛ ɣ a
áreiðanlegar	auː r ei ð a n l ɛ ɣ a r
áreiðanlegi	auː r ei ð a n l ei j ɪ
áreiðanlegir	auː r ei ð a n l ei j ɪ r
áreiðanlegri	auː r ei ð a n l ɛ ɣ r ɪ
áreiðanlegum	auː r ei ð a n l ɛ ɣ ʏ m
áreiðanlegur	auː r ei ð a n l ɛ ɣ ʏ r
áreiðanlegustu	auː r ei ð a n l ɛ ɣ ʏ s t ʏ
áreiðanleika	auː r ei ð a n l eiː k a
áreiðardalur	auː r ei ð a t aː l ʏ r
áreiðarfjall	auː r ei ð a r f j a t l̥
árekstra	auː r ɛ k s t r a
árekstragígar	auː r ɛ k s t r a k iː ɣ a r
árekstrar	auː r ɛ k s t r a r
árekstrarkenningin	auː r ɛ k s t r a r c ɛ n i ɲ c ɪ n
árekstrarpunkturinn	auː r ɛ k s t r a r p u ŋ̊ t ʏ r ɪ n
árekstrarsvæðinu	auː r ɛ k s t r a r s v ai ð ɪ n ʏ
árekstri	auː r ɛ k s t r ɪ
árekstur	auː r ɛ k s t ʏ r
áreksturinn	auː r ɛ k s t ʏ r ɪ n
árelíus	auː r ɛ l i j ʏ s
árengisbrún	auː r ei ɲ c ɪ s p r u n
árengisflói	auː r ei ɲ c ɪ s f l ouː ɪ
árennileg	auː r ɛ n ɪ l ɛ ɣ
áreynsla	auː r ei n s t l a
áreynslu	auː r ei n s t l ʏ
árfarið	au r f aː r ɪ ð
árfarsgrynning	au r f a r̥ s k r ɪ n i ŋ k
árfellsrennur	au r̥ f ɛ l s r ɛ n ʏ r
árferði	au r f ɛ r ð ɪ
árfætlu	au r̥ f ai h t l ʏ
árgang	au r k au ŋ k
árganga	au r k au ŋ k a
árgangi	au r k au ɲ c ɪ
árgangur	au r k au ŋ k ʏ r
árgarður	au r k a r ð ʏ r
árgilsstaðaflói	au r c ɪ l s t a ð a f l ouː ɪ
árgilsstaðir	au r c ɪ l s t a ð ɪ r
árgljúfur	au r k l j u v ʏ r
árgötur	au r k œ t ʏ r
árgúlshellir	au r k u l s h ɛ t l ɪ r
árhafnartangi	auː r h a p n a r tʰ au ɲ c ɪ
árheitið	auː r h ei t ɪ ð
árhnúksgil	au r n̥ u k s c ɪ l
árhnúkslág	au r n̥ u k s t l au h
árhnúkur	au r n̥ uː k ʏ r
árholt	auː r h ɔ l̥ t
árholtssund	auː r h ɔ l̥ t s ʏ n t
árhorn	auː r h ɔ t n̥
árhraunsgata	au r̥ œy n s k a t a
árhring	au r̥ i ŋ k
árhringir	au r̥ i ɲ c ɪ r
árhringjanna	au r̥ i ɲ c a n a
árhólakambur	auː r h ou l a k a m p ʏ r
árhólalækur	auː r h ou l a l aiː k ʏ r
árhólamýri	auː r h ou l a m iː r ɪ
árhólar	auː r h ou l a r
árhólsvarða	auː r h ou l s v a r ð a
árhöfðamelar	auː r h œ v ð a m ɛː l a r
árhúsum	auː r h uː s ʏ m
ári	auː r ɪ
árin	auː r ɪ n
árina	auː r ɪ n a
árinnar	auː r ɪ n a r
árinni	auː r ɪ n ɪ
árinu	auː r ɪ n ʏ
áritalið	auː r ɪ t a l ɪ ð
árituð	auː r ɪ t ʏ ð
árið	auː r ɪ ð
árklofar	auː r kʰ l ɔː v a r
árkrókar	au r k r ouː k a r
árkvarnarpyttur	au r k v a r t n a r̥ pʰ ɪ h t ʏ r
árkvarni	au r k v a r t n ɪ
árla	au r t l a
árlaug	au r l œyː ɣ
árlautaholt	au r l œyː t a h ɔ l̥ t
árleg	au r l ɛ ɣ
árlega	au r l ɛ ɣ a
árlegan	au r l ɛ ɣ a n
árlegar	au r l ɛ ɣ a r
árlegir	au r l ei j ɪ r
árlegri	au r l ɛ ɣ r ɪ
árlegt	au r l ɛ x t
árlegur	au r l ɛ ɣ ʏ r
ármann	au r m a n
ármannsdóttir	au r m a n s t ou h t ɪ r
ármannsfell	au r m a n s f ɛ t l̥
ármelur	au r m ɛː l ʏ r
ármenningar	au r m ɛ n i ŋ k a r
ármót	au r m ou t
ármótaeyri	au r m ou t a eiː r ɪ
ármótafljót	au r m ou t a f l j ou t
ármótasel	au r m ou t a s ɛː l
ármóti	au r m ou t ɪ
ármótin	au r m ou t ɪ n
ármótshóll	au r m ou t s h ou t l̥
ármúla	au r m u l a
ármúli	au r m uː l ɪ
árna	au r t n a
árnaborgir	au r t n a p ɔ r c ɪ r
árnabotn	au r t n a p ɔ h t n̥
árnadóttir	au r t n a t ou h t ɪ r
árnadóttur	au r t n a t ou h t ʏ r
árnaflögubali	au r t n a f l œ ɣ ʏ p aː l ɪ
árnagarður	au r t n a k a r ð ʏ r
árnahjalli	au r t n a ç a t l ɪ
árnahlíðar	au r t n a l̥ iː ð a r
árnahús	au r t n a h uː s
árnakinn	au r t n aː c ɪ n
árnalátur	au r t n a l au t ʏ r
árnalækur	au r t n a l aiː k ʏ r
árnamelur	au r t n a m ɛː l ʏ r
árnanes	au r t n a n ɛ s
árnaneshellir	au r t n a n ɛ s h ɛ t l ɪ r
árnar	au r t n a r
árnasafni	au r t n a s a p n ɪ
árnaselsfjall	au r t n a s ɛ l s f j a t l̥
árnaskriðugil	au r t n a s k r ɪ ð ʏi j ɪ l
árnaskurðir	au r t n a s k ʏ r ð ɪ r
árnason	au r t n a s ɔː n
árnasonar	au r t n a s ɔː n a r
árnastaðafjall	au r t n a s t aː ð a f j a t l̥
árnastofnunar	au r t n a s t ɔ p n ʏ n a r
árnasyni	au r t n a s ɪː n ɪ
árnateigsmýri	au r t n a t ei x s m iː r ɪ
árnatótt	au r t n a t ou h t
árnavör	au r t n a v œː r
árnes	au r t n ɛ s
árnesey	au r t n ɛ s ei
árneshellir	au r t n ɛ s h ɛ t l ɪ r
árneshreppi	au r t n ɛ s r̥ ɛ h p ɪ
árneskrókur	au r t n ɛ s k r ouː k ʏ r
árnessýslu	au r t n ɛ s i s t l ʏ
árnhóll	au r t n h ou t l̥
árni	au r t n ɪ
árnína	au r t n i n a
árprýði	au r̥ pʰ r i ð ɪ
árrisulir	au r ɪː s ʏ l ɪ r
árs	au r̥ s
árset	au r̥ s ɛ t
ársfjórðung	au r̥ s f j ou r ð u ŋ k
ársfjórðungi	au r̥ s f j ou r ð u ɲ c ɪ
ársfundur	au r̥ s f ʏ n t ʏ r
ársgömlum	au r̥ s k œ m l ʏ m
ársins	au r̥ s ɪ n s
árskarðsáin	au r̥ s k a r ð s auː ɪ n
árskógar	au r̥ s k ou a r
árskógssandi	au r̥ s k ou ɣ s a n t ɪ
ársleigan	au r̥ s t l eiː ɣ a n
